cds,ad,adcod,cdscod,media_voto,rn
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1501N002] ECONOMIA AZIENDALE,E1501N002,E1501N,23.353982300885,3
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1801M053] LINGUA - TEDESCO,E1801M053,E1501N,28.0,3
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E1501N011] SOCIOLOGIA DEL TERRITORIO,E1501N011,E1501N,28.3936170212766,2
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,[E3301M182] LINGUA-SPAGNOLO,E3301M182,E1501N,29.0,1
[E1502N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE (NETTUNO),[E1501N080] MARKETING,E1501N080,E1502N,19.0,1
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,[E2001R010] ORGANIZZAZIONE AZIENDALE,E2001R010,E1601N,20.0,1
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,[E1601N020] MATEMATICA,E1601N020,E1601N,20.9770114942529,2
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,[E1501N081] WEB MARKETING,E1501N081,E1601N,21.0,3
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,[A5810060] DIRITTO PENALE (PARTE SPECIALE),A5810060,E1601N,30.0,1
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,[E1401A040] CRIMINOLOGIA,E1401A040,E1601N,30.0,2
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,[E3901N036] MUTAMENTO SOCIALE E WELFARE,E3901N036,E1601N,30.0,3
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",[E1803M075] ECONOMIA DELLE ISTITUZIONI FINANZIARIE,E1803M075,E1801M,19.0,1
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",[E1803M081] FINANZA AZIENDALE,E1803M081,E1801M,21.2222222222222,2
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",[E3301M155] CONTABILITA' DEGLI ENTI PUBBLICI,E3301M155,E1801M,22.0,3
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",[E2004P025] PSICOLOGIA ECONOMICA E DEL LAVORO,E2004P025,E1801M,28.6666666666667,3
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",[E2001R024] TEORIA E TECNICA DEI NUOVI MEDIA,E2001R024,E1801M,28.7777777777778,2
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",[E1802M121] DIRITTO TRIBUTARIO,E1802M121,E1801M,29.0,1
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,[E1803M054] ECONOMIA DEL SETTORE FINANZIARIO,E1803M054,E1802M,19.0,1
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,[A5810056] DIRITTO FALLIMENTARE,A5810056,E1802M,23.0,2
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,[E1802M115] METODI QUANTITATIVI PER L'AMMINISTRAZIONE DELLE IMPRESE,E1802M115,E1802M,23.0181818181818,3
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,[E1802M125] TEORIA DEI CAMPIONI E SOFTWARE STATISTICI,E1802M125,E1802M,30.0,1
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,[E1802M127] PROGRAMMAZIONE BASE DI DATI E SISTEMI INFORMATIVI,E1802M127,E1802M,30.0,2
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,[E3301M153] DIRITTO AMMINISTRATIVO E DELLE AUTONOMIE,E3301M153,E1802M,30.0,3
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",[E2001R051] LINGUA ARABA I,E2001R051,E1803M,18.0,1
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",[E3301M138] ECONOMIA E TECNICA DELLA COMUNICAZIONE AZIENDALE,E3301M138,E1803M,21.7272727272727,2
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",[E1803M057] LINGUA - INGLESE,E1803M057,E1803M,22.2613636363636,3
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",[E3301M158] METODI QUANTITATIVI PER LE ASSICURAZIONI E LE BANCHE,E3301M158,E1803M,29.75,3
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",[E1802M122] ORGANIZZAZIONE E CONTROLLO AZIENDALE,E1802M122,E1803M,30.0,1
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",[E2001R055] LINGUA CINESE I,E2001R055,E1803M,30.0,2
[E1901R] SCIENZE DELL'EDUCAZIONE,[E2401P029] TECNICHE DEL COLLOQUIO,E2401P029,E1901R,22.0,1
[E1901R] SCIENZE DELL'EDUCAZIONE,[A5810046] CRIMINOLOGIA,A5810046,E1901R,23.0,2
[E1901R] SCIENZE DELL'EDUCAZIONE,[E2401P011] PSICOLOGIA SOCIALE,E2401P011,E1901R,23.0,3
[E1901R] SCIENZE DELL'EDUCAZIONE,[E1901R110] EDUCAZIONE DEGLI ADULTI,E1901R110,E1901R,29.0657894736842,3
[E1901R] SCIENZE DELL'EDUCAZIONE,[E1901R084] MUSICA,E1901R084,E1901R,29.75,2
[E1901R] SCIENZE DELL'EDUCAZIONE,[E1901R100] STORIA DELLA FILOSOFIA CONTEMPORANEA,E1901R100,E1901R,30.0,1
[E2001R] COMUNICAZIONE INTERCULTURALE,[E3301M180] LINGUA - INGLESE,E3301M180,E2001R,19.5,1
[E2001R] COMUNICAZIONE INTERCULTURALE,[E2004P013] PSICOLOGIA DELL'ARTE,E2004P013,E2001R,21.5,2
[E2001R] COMUNICAZIONE INTERCULTURALE,[E1601N010] INNOVAZIONE ORGANIZZATIVA,E1601N010,E2001R,22.0,3
[E2001R] COMUNICAZIONE INTERCULTURALE,[E1601N034] MANAGEMENT DEI SERVIZI PUBBLICI E DELLE ORGANIZZAZIONI NO PROFIT,E1601N034,E2001R,30.0,1
[E2001R] COMUNICAZIONE INTERCULTURALE,[E1801M053] LINGUA - TEDESCO,E1801M053,E2001R,30.0,2
[E2001R] COMUNICAZIONE INTERCULTURALE,[E1901R019] STORIA MEDIOEVALE,E1901R019,E2001R,30.0,3
[E2003P] COMUNICAZIONE E PSICOLOGIA,[E2004P038] WEB MARKETING,E2004P038,E2003P,30.0,1
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,[E2401P029] TECNICHE DEL COLLOQUIO,E2401P029,E2004P,18.0,1
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,[E3301M138] ECONOMIA E TECNICA DELLA COMUNICAZIONE AZIENDALE,E3301M138,E2004P,21.5,2
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,[E2401P016] PENSIERO E COMUNICAZIONE,E2401P016,E2004P,23.0,3
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,"[E1501N054] MUSICA, SPETTACOLO E TERRITORIO",E1501N054,E2004P,30.0,1
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,[E1901R084] MUSICA,E1901R084,E2004P,30.0,2
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,[E1901R089] ESTETICA,E1901R089,E2004P,30.0,3
[E2401P] SCIENZE E TECNICHE PSICOLOGICHE,[E1601N055] SCIENZA DELLA POLITICA,E1601N055,E2401P,20.0,1
[E2401P] SCIENZE E TECNICHE PSICOLOGICHE,[E3101Q103] BASI DI DATI,E3101Q103,E2401P,21.0,2
[E2401P] SCIENZE E TECNICHE PSICOLOGICHE,[E2401P001] PSICOLOGIA GENERALE 1,E2401P001,E2401P,24.8176638176638,3
[E2401P] SCIENZE E TECNICHE PSICOLOGICHE,[E2001R007] ANTROPOLOGIA CULTURALE,E2001R007,E2401P,30.0,1
[E2401P] SCIENZE E TECNICHE PSICOLOGICHE,[E2001R027] ANTROPOLOGIA DELLA CONTEMPORANEITÀ,E2001R027,E2401P,30.0,2
[E2401P] SCIENZE E TECNICHE PSICOLOGICHE,[E2004P009] PSICOLINGUISTICA,E2004P009,E2401P,30.0,3
[E2701Q] SCIENZA DEI MATERIALI,[E2702Q099] CHIMICA FISICA APPLICATA,E2702Q099,E2701Q,23.2,1
[E2701Q] SCIENZA DEI MATERIALI,[E3001Q052] ELEMENTI DI ELETTRONICA,E3001Q052,E2701Q,23.3333333333333,2
[E2701Q] SCIENZA DEI MATERIALI,[E2701Q035] CHIMICA ORGANICA,E2701Q035,E2701Q,23.609756097561,3
[E2701Q] SCIENZA DEI MATERIALI,[E2701Q049] LABORATORIO DI TECNOLOGIA DEI MATERIALI II,E2701Q049,E2701Q,30.0,1
[E2701Q] SCIENZA DEI MATERIALI,[E2701Q051] LABORATORIO DI TECNOLOGIA DEI MATERIALI I,E2701Q051,E2701Q,30.0,2
[E2701Q] SCIENZA DEI MATERIALI,[E2702Q045] ELEMENTI DI BIOCHIMICA,E2702Q045,E2701Q,30.0,3
[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE,[E0201Q067] PATOLOGIA GENERALE,E0201Q067,E2702Q,21.0,1
[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE,[E2702Q001] MATEMATICA I,E2702Q001,E2702Q,24.7384615384615,2
[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE,[E2702Q082] CHIMICA GENERALE E LABORATORIO,E2702Q082,E2702Q,25.15625,3
[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE,[E2001R014] LOGICA E FILOSOFIA DELLA SCIENZA,E2001R014,E2702Q,28.0,3
[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE,[E2702Q045] ELEMENTI DI BIOCHIMICA,E2702Q045,E2702Q,28.325,2
[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE,[E0201Q046] INFORMATICA,E0201Q046,E2702Q,30.0,1
[E3001Q] FISICA,[E2702Q099] CHIMICA FISICA APPLICATA,E2702Q099,E3001Q,19.0,1
[E3001Q] FISICA,[E3401Q040] GEOGRAFIA FISICA,E3401Q040,E3001Q,19.5,2
[E3001Q] FISICA,[E4101B017] ECONOMETRIA,E4101B017,E3001Q,22.0,3
[E3001Q] FISICA,[E3001Q062] ESPERIMENTAZIONI DI PLASMI,E3001Q062,E3001Q,30.0,1
[E3001Q] FISICA,[E3001Q064] ESPERIMENTAZIONI DI FISICA DEI SOLIDI,E3001Q064,E3001Q,30.0,2
[E3001Q] FISICA,[E3501Q058] ANALISI NUMERICA,E3501Q058,E3001Q,30.0,3
[E3002Q] OTTICA E OPTOMETRIA,[E3002Q001] ISTITUZIONI DI MATEMATICA I,E3002Q001,E3002Q,21.1081081081081,1
[E3002Q] OTTICA E OPTOMETRIA,[E1802M116] MANAGEMENT,E1802M116,E3002Q,22.0,2
[E3002Q] OTTICA E OPTOMETRIA,[E2001R010] ORGANIZZAZIONE AZIENDALE,E2001R010,E3002Q,22.0,3
[E3002Q] OTTICA E OPTOMETRIA,[E1301Q063] BOTANICA,E1301Q063,E3002Q,29.0,2
[E3002Q] OTTICA E OPTOMETRIA,[E1601N033] ECONOMIA E MANAGEMENT DELLE RETI E DELLE PICCOLE IMPRESE,E1601N033,E3002Q,29.0,3
[E3002Q] OTTICA E OPTOMETRIA,[E1901R091] PSICOLOGIA CLINICA,E1901R091,E3002Q,30.0,1
[E3101Q] INFORMATICA,[E3101Q100] ANALISI MATEMATICA,E3101Q100,E3101Q,20.6490066225166,1
[E3101Q] INFORMATICA,[E3101Q101] COMPLEMENTI DI MATEMATICA,E3101Q101,E3101Q,20.8648648648649,2
[E3101Q] INFORMATICA,[E3101Q104] ARCHITETTURA DEGLI ELABORATORI,E3101Q104,E3101Q,21.6,3
[E3101Q] INFORMATICA,[E3101Q116] ELEMENTI DI BIOINFORMATICA,E3101Q116,E3101Q,29.625,3
[E3101Q] INFORMATICA,[E3101Q117] BUSINESS INTELLIGENCE PER I SERVIZI FINANZIARI,E3101Q117,E3101Q,29.6666666666667,2
[E3101Q] INFORMATICA,[E3001Q040] ANALISI MATEMATICA II,E3001Q040,E3101Q,30.0,1
[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE,[E0201Q055] COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO,E0201Q055,E3201Q,18.0,1
[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE,[E0201Q069] MICROBIOLOGIA INDUSTRIALE,E0201Q069,E3201Q,21.0,2
[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE,[E3401Q053] INTRODUZIONE ALLA GEOGRAFIA DEGLI OCEANI,E3401Q053,E3201Q,22.0,3
[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE,[E1301Q015] FISIOLOGIA GENERALE,E1301Q015,E3201Q,28.0,3
[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE,[E3201Q087] CHIMICA DELLE ACQUE,E3201Q087,E3201Q,28.2,2
[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE,[E3201Q086] STATISTICA,E3201Q086,E3201Q,28.75,1
[E3301M] ECONOMIA E COMMERCIO,[E3301M131] METODI MATEMATICI,E3301M131,E3301M,21.735632183908,1
[E3301M] ECONOMIA E COMMERCIO,[E3301M159] STATISTICA PER L'AZIENDA,E3301M159,E3301M,22.3396226415094,2
[E3301M] ECONOMIA E COMMERCIO,[E3301M128] MATEMATICA GENERALE I,E3301M128,E3301M,23.7421052631579,3
[E3301M] ECONOMIA E COMMERCIO,[E3301M156] METODI QUANTITATIVI PER LE DISCIPLINE ECONOMICHE,E3301M156,E3301M,29.5,3
[E3301M] ECONOMIA E COMMERCIO,[E1802M117] BILANCIO E ANALISI ECONOMICO FINANZIARIA,E1802M117,E3301M,30.0,1
[E3301M] ECONOMIA E COMMERCIO,[E2004P025] PSICOLOGIA ECONOMICA E DEL LAVORO,E2004P025,E3301M,30.0,2
[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE,[E3401Q038] INFORMATICA PER LE SCIENZE DELLA TERRA,E3401Q038,E3401Q,22.5833333333333,1
[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE,[E3401Q001] MATEMATICA,E3401Q001,E3401Q,22.672131147541,2
[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE,[E3401Q013] MINERALOGIA,E3401Q013,E3401Q,23.0943396226415,3
[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE,[E2701Q038] CHIMICA MACROMOLECOLARE CON LABORATORIO,E2701Q038,E3401Q,28.0,3
[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE,[E1501N082] ARCHEOLOGIA,E1501N082,E3401Q,30.0,1
[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE,[E3201Q087] CHIMICA DELLE ACQUE,E3201Q087,E3401Q,30.0,2
[E3501Q] MATEMATICA,[E1801M028] ELEMENTI DI CONTABILITÀ E BILANCIO,E1801M028,E3501Q,19.0,1
[E3501Q] MATEMATICA,[E2701Q043] STRUTTURA DELLA MATERIA I,E2701Q043,E3501Q,21.0,2
[E3501Q] MATEMATICA,[E3001Q054] ELEMENTI DI ASTROFISICA,E3001Q054,E3501Q,21.0,3
[E3501Q] MATEMATICA,[E2001R014] LOGICA E FILOSOFIA DELLA SCIENZA,E2001R014,E3501Q,30.0,1
[E3501Q] MATEMATICA,[E3001Q046] MECCANICA QUANTISTICA,E3001Q046,E3501Q,30.0,2
[E3501Q] MATEMATICA,[E3101Q117] BUSINESS INTELLIGENCE PER I SERVIZI FINANZIARI,E3101Q117,E3501Q,30.0,3
[E3901N] SERVIZIO SOCIALE,[E3901N003] ISTITUZIONI DI DIRITTO PUBBLICO,E3901N003,E3901N,22.0289855072464,1
[E3901N] SERVIZIO SOCIALE,[E3901N028] PSICOLOGIA DELLO SVILUPPO,E3901N028,E3901N,23.7377049180328,2
[E3901N] SERVIZIO SOCIALE,[E3901N010] SOCIOLOGIA DELLA FAMIGLIA,E3901N010,E3901N,23.768115942029,3
[E3901N] SERVIZIO SOCIALE,[E3901N023] TIROCINIO,E3901N023,E3901N,28.0487804878049,3
[E3901N] SERVIZIO SOCIALE,[E3901N036] MUTAMENTO SOCIALE E WELFARE,E3901N036,E3901N,28.1428571428571,2
[E3901N] SERVIZIO SOCIALE,"[E3901N037] INCLUSIONE SOCIALE, RETI E WELFARE",E3901N037,E3901N,28.3484848484848,1
[E4001N] SOCIOLOGIA,[E3901N030] SOCIOLOGIA DELLA DEVIANZA,E3901N030,E4001N,21.5,1
[E4001N] SOCIOLOGIA,[E4102B009] ANALISI MATEMATICA II,E4102B009,E4001N,22.0,2
[E4001N] SOCIOLOGIA,[E4001N057] SOCIOLOGIA DELLA FAMIGLIA,E4001N057,E4001N,22.1666666666667,3
[E4001N] SOCIOLOGIA,[E2001R038] ISTITUZIONI DI CULTURA ARABA,E2001R038,E4001N,28.0,2
[E4001N] SOCIOLOGIA,[E4102B006] CALCOLO DELLE PROBABILITÀ,E4102B006,E4001N,28.0,3
[E4001N] SOCIOLOGIA,[E1601N034] MANAGEMENT DEI SERVIZI PUBBLICI E DELLE ORGANIZZAZIONI NO PROFIT,E1601N034,E4001N,29.0,1
[E4101B] SCIENZE STATISTICHE ED ECONOMICHE,[E3301M097] ECONOMIA AZIENDALE,E3301M097,E4101B,18.0,1
[E4101B] SCIENZE STATISTICHE ED ECONOMICHE,[E3301M196] MANAGEMENT,E3301M196,E4101B,18.0,2
[E4101B] SCIENZE STATISTICHE ED ECONOMICHE,[E2004P038] WEB MARKETING,E2004P038,E4101B,20.0,3
[E4101B] SCIENZE STATISTICHE ED ECONOMICHE,[E4101B026] DATA MINING,E4101B026,E4101B,29.1219512195122,3
[E4101B] SCIENZE STATISTICHE ED ECONOMICHE,[E4102B020] EPIDEMIOLOGIA,E4102B020,E4101B,30.0,1
[E4101B] SCIENZE STATISTICHE ED ECONOMICHE,[E4102B071] STATISTICA SPAZIALE E AMBIENTALE,E4102B071,E4101B,30.0,2
[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI,[E4101B023] ECONOMIA INDUSTRIALE,E4101B023,E4102B,18.0,1
[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI,[E4102B005] STATISTICA I,E4102B005,E4102B,22.9076923076923,2
[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI,[E4102B043] PIANO DEGLI ESPERIMENTI,E4102B043,E4102B,23.1111111111111,3
[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI,[E4102B059] MODELLI LINEARI GENERALIZZATI IN EPIDEMIOLOGIA E MEDICINA,E4102B059,E4102B,28.0,3
[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI,[E4102B071] STATISTICA SPAZIALE E AMBIENTALE,E4102B071,E4102B,28.4444444444444,2
[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI,"[E4102B061] POPOLAZIONE, TERRITORIO E SOCIETA' I",E4102B061,E4102B,29.0,1
[F0101R] SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE,[F8501R010] PEDAGOGIA DELLA DEVIANZA E DELLA MARGINALITÀ,F8501R010,F0101R,18.0,1
[F0101R] SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE,[F0101R066] STORIA MODERNA,F0101R066,F0101R,27.0,2
[F0101R] SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE,[F0101R017] LETTERATURE COMPARATE,F0101R017,F0101R,27.4615384615385,3
[F0101R] SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE,[F0101R025] CULTURE E SOCIETÀ DELL'AFRICA,F0101R025,F0101R,30.0,1
[F0101R] SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE,[F0101R029] CULTURE E SOCIETÀ DEL PACIFICO,F0101R029,F0101R,30.0,2
[F0101R] SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE,[F5701R019] PEDAGOGIA INTERCULTURALE E DELLA COOP.,F5701R019,F0101R,30.0,3
[F0601Q] BIOLOGIA,[F0601Q066] BIOGEOGRAFIA,F0601Q066,F0601Q,24.3333333333333,1
[F0601Q] BIOLOGIA,[F0601Q050] METODOLOGIE BIOCHIMICHE,F0601Q050,F0601Q,25.8604651162791,2
[F0601Q] BIOLOGIA,[F0802Q046] INTERAZIONI LIGANDO-MACROMOLECOLA,F0802Q046,F0601Q,27.0,3
[F0601Q] BIOLOGIA,[F0601Q048] BIOLOGIA QUANTITATIVA,F0601Q048,F0601Q,30.0,1
[F0601Q] BIOLOGIA,[F0802Q038] GENETICA MOLECOLARE,F0802Q038,F0601Q,30.0,2
[F0601Q] BIOLOGIA,[F0802Q040] STRUTTURE E INTERAZIONI MOLECOLARI,F0802Q040,F0601Q,30.0,3
[F0802Q] BIOTECNOLOGIE INDUSTRIALI,[F7501Q020] TOSSICOLOGIA AMBIENTALE,F7501Q020,F0802Q,26.0,1
[F0802Q] BIOTECNOLOGIE INDUSTRIALI,[F0601Q070] OMEOSTASI CELLULARE NEI TESSUTI SOMATICI E CELLULE STAMINALI,F0601Q070,F0802Q,26.3333333333333,2
[F0802Q] BIOTECNOLOGIE INDUSTRIALI,[F0802Q060] INGEGNERIA DI PROCESSO,F0802Q060,F0802Q,26.8,3
[F0802Q] BIOTECNOLOGIE INDUSTRIALI,[F0601Q051] FISIOLOGIA MOLECOLARE DELLE PIANTE,F0601Q051,F0802Q,30.0,1
[F0802Q] BIOTECNOLOGIE INDUSTRIALI,[F0601Q058] BIODIVERSITA' VEGETALE,F0601Q058,F0802Q,30.0,2
[F0802Q] BIOTECNOLOGIE INDUSTRIALI,[F0802Q066] CHIMICA ORGANICA FARMACEUTICA,F0802Q066,F0802Q,30.0,3
[F0901D] BIOTECNOLOGIE MEDICHE,[F0901D044] FISIOLOGIA INTEGRATA:DALLE CELLULE AI SISTEMI,F0901D044,F0901D,26.25,1
[F0901D] BIOTECNOLOGIE MEDICHE,[F0901D040] GENOMICA FUNZIONALE,F0901D040,F0901D,26.5625,2
[F0901D] BIOTECNOLOGIE MEDICHE,[F0901D042] NANOMEDICINA,F0901D042,F0901D,26.7777777777778,3
[F0901D] BIOTECNOLOGIE MEDICHE,[F0901D045] PHARMACOLOGY,F0901D045,F0901D,28.6,3
[F0901D] BIOTECNOLOGIE MEDICHE,[F0901D025] BIOTECNOLOGIE MICROBICHE,F0901D025,F0901D,28.6666666666667,2
[F0901D] BIOTECNOLOGIE MEDICHE,[F0901D029] BIOTECNOLOGIE IN DIAGNOSTICA,F0901D029,F0901D,29.2,1
[F1601M] ECONOMIA E FINANZA,[F1601M056] INFORMATICA PER LA FINANZA,F1601M056,F1601M,24.21875,1
[F1601M] ECONOMIA E FINANZA,[F1601M053] STATISTICA PER LA FINANZA,F1601M053,F1601M,24.5161290322581,2
[F1601M] ECONOMIA E FINANZA,[F1601M057] BANK MANAGEMENT,F1601M057,F1601M,25.9166666666667,3
[F1601M] ECONOMIA E FINANZA,[F5102P019] PSICOLOGIA DELLE CONDOTTE FINANZIARIE,F5102P019,F1601M,29.6,3
[F1601M] ECONOMIA E FINANZA,[F1601M068] CULTURA STORICA GIURIDICA E LINGUISTICA SPAGNOLA,F1601M068,F1601M,30.0,1
[F1601M] ECONOMIA E FINANZA,[F1601M069] CULTURA STORICA GIURIDICA E LINGUISTICA TEDESCA,F1601M069,F1601M,30.0,2
