cds,ad,adcod,cdscod,trialerror,rn
[E2401P] SCIENZE E TECNICHE PSICOLOGICHE,[E2004P028] INFORMATICA E GRAFICA PER IL WEB,E2004P028,E2401P,"0,5000",2
[E2401P] SCIENZE E TECNICHE PSICOLOGICHE,[E1301Q067] IMMUNOLOGIA E PATOLOGIA,E1301Q067,E2401P,"2,0000",1
[E2701Q] SCIENZA DEI MATERIALI,[E2702Q099] CHIMICA FISICA APPLICATA,E2702Q099,E2701Q,"0,4000",3
[E2701Q] SCIENZA DEI MATERIALI,[E2701Q034] CHIMICA GENERALE E INORGANICA CON LABORATORIO,E2701Q034,E2701Q,"0,6462",2
[E2701Q] SCIENZA DEI MATERIALI,[E0201Q055] COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO,E0201Q055,E2701Q,"1,0000",1
[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE,[E2702Q089] CHIMICA FISICA II E LABORATORIO,E2702Q089,E2702Q,"0,3000",3
[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE,[E2702Q001] MATEMATICA I,E2702Q001,E2702Q,"0,3151",2
[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE,[E2702Q082] CHIMICA GENERALE E LABORATORIO,E2702Q082,E2702Q,"0,8378",1
[E3001Q] FISICA,[E3001Q038] CHIMICA,E3001Q038,E3001Q,"0,4309",3
[E3001Q] FISICA,[E4101B017] ECONOMETRIA,E4101B017,E3001Q,"0,5000",2
[E3001Q] FISICA,[E3002Q029] INTERAZIONE LUCE MATERIA,E3002Q029,E3001Q,"1,0000",1
[E3002Q] OTTICA E OPTOMETRIA,[E2004P004] PSICOLOGIA GENERALE PER LA COMUNICAZIONE,E2004P004,E3002Q,"1,0000",3
[E3002Q] OTTICA E OPTOMETRIA,[E3002Q032] ANATOMIA E ISTOLOGIA UMANA E OCULARE,E3002Q032,E3002Q,"1,1509",2
[E3002Q] OTTICA E OPTOMETRIA,[E3002Q033] OTTICA GEOMETRICA E OFTALMICA CON LABORATORIO,E3002Q033,E3002Q,"1,3696",1
[E3101Q] INFORMATICA,[E3101Q102] FONDAMENTI DELL'INFORMATICA,E3101Q102,E3101Q,"0,2191",3
[E3101Q] INFORMATICA,[E3101Q122] PROGRAMMAZIONE E AMMINISTRAZIONE DI SISTEMA,E3101Q122,E3101Q,"0,2292",2
[E3101Q] INFORMATICA,[E3101Q104] ARCHITETTURA DEGLI ELABORATORI,E3101Q104,E3101Q,"0,4108",1
[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE,[E3201Q069] BOTANICA,E3201Q069,E3201Q,"0,3827",3
[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE,[E3201Q001] MATEMATICA I,E3201Q001,E3201Q,"0,5763",2
[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE,[E0201Q055] COMPOSTI ORGANICI DI INTERESSE MERCEOLOGICO,E0201Q055,E3201Q,"1,0000",1
[E3301M] ECONOMIA E COMMERCIO,[E4101B018] ECONOMIA DEI MERCATI MONETARI E FINANZIARI,E4101B018,E3301M,"1,0000",2
[E3301M] ECONOMIA E COMMERCIO,[E4102B066] DEMOGRAFIA,E4102B066,E3301M,"1,0000",3
[E3301M] ECONOMIA E COMMERCIO,[E3301M131] METODI MATEMATICI,E3301M131,E3301M,"1,0360",1
[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE,[E3401Q038] INFORMATICA PER LE SCIENZE DELLA TERRA,E3401Q038,E3401Q,"0,3404",3
[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE,[E1301Q059] ECOLOGIA APPLICATA,E1301Q059,E3401Q,"0,4286",2
[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE,[E3401Q039] PRINCIPI DI GEOLOGIA,E3401Q039,E3401Q,"0,4353",1
[E3501Q] MATEMATICA,[E3001Q043] FISICA III,E3001Q043,E3501Q,"0,3333",3
[E3501Q] MATEMATICA,[E3001Q038] CHIMICA,E3001Q038,E3501Q,"1,0000",1
[E3501Q] MATEMATICA,[E3001Q054] ELEMENTI DI ASTROFISICA,E3001Q054,E3501Q,"1,0000",2
[E3901N] SERVIZIO SOCIALE,[E3901N031] DISAGIO PSICHICO,E3901N031,E3901N,"0,1538",3
[E3901N] SERVIZIO SOCIALE,[E3901N028] PSICOLOGIA DELLO SVILUPPO,E3901N028,E3901N,"0,1848",2
[E3901N] SERVIZIO SOCIALE,[E3901N003] ISTITUZIONI DI DIRITTO PUBBLICO,E3901N003,E3901N,"0,6211",1
[E4001N] SOCIOLOGIA,[E4001N015] STORIA CONTEMPORANEA,E4001N015,E4001N,"0,5380",3
[E4001N] SOCIOLOGIA,[E1901R005] PSICOLOGIA DELL'EDUCAZIONE,E1901R005,E4001N,"0,7500",2
[E4001N] SOCIOLOGIA,[E2401P026] PSICOLOGIA GIURIDICA,E2401P026,E4001N,"1,0000",1
[E4101B] SCIENZE STATISTICHE ED ECONOMICHE,[E3301M180] LINGUA - INGLESE,E3301M180,E4101B,"1,0000",3
[E4101B] SCIENZE STATISTICHE ED ECONOMICHE,[E4101B002] ALGEBRA LINEARE,E4101B002,E4101B,"1,0108",2
[E4101B] SCIENZE STATISTICHE ED ECONOMICHE,[E4101B001] ANALISI MATEMATICA I,E4101B001,E4101B,"1,3333",1
[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI,[E4102B067] INFORMATICA,E4102B067,E4102B,"0,8298",3
[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI,[E4101B008] STATISTICA ECONOMICA I,E4101B008,E4102B,"1,0000",2
[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI,[E4102B005] STATISTICA I,E4102B005,E4102B,"1,2479",1
[F0101R] SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE,[F0101R001] METODOLOGIA RICERCA ANTROPOLOGICA,F0101R001,F0101R,"0,0000",1
[F0101R] SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE,[F0101R002] MODELLI TEORICI DELL'ANTROPOLOGIA,F0101R002,F0101R,"0,0000",2
[F0101R] SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE,[F0101R003] ANTROPOLOGIA POLITICA,F0101R003,F0101R,"0,0000",3
[F0601Q] BIOLOGIA,[F0601Q077] BIOSTATISTICA,F0601Q077,F0601Q,"0,1633",3
[F0601Q] BIOLOGIA,[F0601Q061] PATOLOGIE DEL METABOLISMO,F0601Q061,F0601Q,"0,2857",2
[F0601Q] BIOLOGIA,[F0601Q073] CITOGENETICA,F0601Q073,F0601Q,"0,5143",1
[F0802Q] BIOTECNOLOGIE INDUSTRIALI,[F0802Q041] CHIMICA ORGANICA APPLICATA ALLE BIOTECNOLOGIE,F0802Q041,F0802Q,"0,0175",3
[F0802Q] BIOTECNOLOGIE INDUSTRIALI,[F0802Q059] FARMACOLOGIA APPLICATA,F0802Q059,F0802Q,"0,1739",2
[F0802Q] BIOTECNOLOGIE INDUSTRIALI,[F0802Q043] ANALISI DI BIOMOLECOLE,F0802Q043,F0802Q,"0,2143",1
[F0901D] BIOTECNOLOGIE MEDICHE,[F0901D034] LA GENETICA NELLA PRATICA CLINICA,F0901D034,F0901D,"0,0370",3
[F0901D] BIOTECNOLOGIE MEDICHE,[F0901D040] GENOMICA FUNZIONALE,F0901D040,F0901D,"0,0857",2
[F0901D] BIOTECNOLOGIE MEDICHE,[F0901D025] BIOTECNOLOGIE MICROBICHE,F0901D025,F0901D,"0,0938",1
[F1601M] ECONOMIA E FINANZA,[F1601M063] ECONOMIA E FINANZA DEI MERCATI GLOBALI,F1601M063,F1601M,"0,0833",3
[F1601M] ECONOMIA E FINANZA,[F1601M056] INFORMATICA PER LA FINANZA,F1601M056,F1601M,"0,2500",2
[F1601M] ECONOMIA E FINANZA,[F1601M042] ULTERIORI CONOSCENZE LINGUISTICHE PER LA FINANZA - INGLESE,F1601M042,F1601M,"0,2933",1
[F1701Q] FISICA,[F0601Q054] FISIOLOGIA CELLULARE,F0601Q054,F1701Q,"0,0000",1
[F1701Q] FISICA,[F0601Q062] NEUROSCIENZE,F0601Q062,F1701Q,"0,0000",2
[F1701Q] FISICA,[F0802Q050] NANOBIOTECNOLOGIE,F0802Q050,F1701Q,"0,0000",3
[F1801Q] INFORMATICA,[F1801Q103] SISTEMI INFORMATIVI,F1801Q103,F1801Q,"0,0000",3
[F1801Q] INFORMATICA,[F1801Q123] SICUREZZA INFORMATICA,F1801Q123,F1801Q,"0,0435",2
[F1801Q] INFORMATICA,[F1801Q104] DATA ANALYTICS,F1801Q104,F1801Q,"0,0556",1
[F4001Q] MATEMATICA,[F1801Q141] FONDAMENTI LOGICO MATEMATICI DELL'INFORMATICA,F1801Q141,F4001Q,"0,0000",3
[F4001Q] MATEMATICA,[F4001Q095] METODI MATEMATICI PER L?ANALISI ECONOMICA ? OTTIMIZZAZIONE E ANALISI CONVESSA,F4001Q095,F4001Q,"0,2500",2
[F4001Q] MATEMATICA,[F4001Q074] ANALISI ARMONICA,F4001Q074,F4001Q,"0,4000",1
"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",[F4901N071] METODI QUANTITATIVI E QUALITATIVI DELLA RICERCA SOCIALE,F4901N071,F4901N,"0,0233",3
"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",[F4901N004] STORIA DELLE POLITICHE CULTURALI,F4901N004,F4901N,"0,0465",2
"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",[F4901N001] INGLESE PER IL TURISMO,F4901N001,F4901N,"0,1500",1
"[F5101P] PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA",[F5101P128] LABORATORIO: EMOZIONI E QUALITA' DELLE RELAZIONI,F5101P128,F5101P,"0,0345",3
"[F5101P] PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA",[F5101P139] PSICOLOGIA DELLA SALUTE E INTERVENTI CLINICI IN AMBITO SANITARIO,F5101P139,F5101P,"0,0391",2
"[F5101P] PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA",[F5101P121] NEUROPSICOLOGIA DELLO SVILUPPO,F5101P121,F5101P,"0,0492",1
"[F5102P] PSICOLOGIA DEI PROCESSI SOCIALI, DECISIONALI E DEI COMPORTAMENTI ECONOMICI",[F5102P017] PSICOLOGIA DEI CONSUMI,F5102P017,F5102P,"0,0962",3
"[F5102P] PSICOLOGIA DEI PROCESSI SOCIALI, DECISIONALI E DEI COMPORTAMENTI ECONOMICI",[F5102P022] INTERVENTO PSICOSOCIALE DI PROMOZIONE DEL BENESSERE,F5102P022,F5102P,"0,1290",2
"[F5102P] PSICOLOGIA DEI PROCESSI SOCIALI, DECISIONALI E DEI COMPORTAMENTI ECONOMICI",[F5104P001] ANALISI MULTIVARIATA DEI DATI,F5104P001,F5102P,"1,0000",1
[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI,[F5103P003] PSICOLOGIA DELLO SVILUPPO COGNITIVO,F5103P003,F5103P,"0,1059",3
[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI,[F5103P078] PSICHIATRIA E NEUROPSICHIATRIA INFANTILE,F5103P078,F5103P,"0,1176",2
[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI,[F5104P002] NEUROPSICOLOGIA DELL'ADULTO E DELL'ANZIANO,F5104P002,F5103P,"1,0000",1
[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA,[F5104P002] NEUROPSICOLOGIA DELL'ADULTO E DELL'ANZIANO,F5104P002,F5104P,"0,0773",3
[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA,[F5104P010] PSICHIATRIA E NEUROPSICHIATRIA INFANTILE,F5104P010,F5104P,"0,1842",2
[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA,[F5104P003] ORIGINI E SVILUPPO DELLA MENTE UMANA,F5104P003,F5104P,"0,1914",1
[F5301Q] SCIENZA DEI MATERIALI,[F5301Q001] FISICA DELLO STATO SOLIDO,F5301Q001,F5301Q,"0,0769",3
[F5301Q] SCIENZA DEI MATERIALI,[F5301Q030] CHIMICA DEI MATERIALI INORGANICI,F5301Q030,F5301Q,"0,1667",2
[F5301Q] SCIENZA DEI MATERIALI,[F5301Q035] SUPERFICI E INTERFACCE,F5301Q035,F5301Q,"1,0000",1
[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,[F0601Q058] BIODIVERSITA' VEGETALE,F0601Q058,F5401Q,"0,0000",3
[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,[F5401Q044] ANALISI DI BIOMOLECOLE,F5401Q044,F5401Q,"0,1429",2
[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,[F5401Q028] SPETTROSCOPIA E SINTESI DI COMPOSTI INORGANICI,F5401Q028,F5401Q,"0,1667",1
[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE,[F5602M001] MATHEMATICAL METHODS AND PROGRAMMIG,F5602M001,F5602M,"0,0455",3
[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE,[F5602M017] GAMES AND STRATEGIC BEHAVIOUR,F5602M017,F5602M,"0,0625",2
[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE,[F5602M012] PRINCIPLES OF CORPORATE FINANCE,F5602M012,F5602M,"0,1034",1
[F5701R] FORMAZIONE E SVILUPPO DELLE RISORSE UMANE,[F5701R030] ORGANIZZAZIONE DELL'AZIENDA INTERNAZIONALE,F5701R030,F5701R,"0,0374",3
[F5701R] FORMAZIONE E SVILUPPO DELLE RISORSE UMANE,[F5701R002] METODOLOGIA DELLA FORMAZIONE,F5701R002,F5701R,"0,0992",2
[F5701R] FORMAZIONE E SVILUPPO DELLE RISORSE UMANE,[F5102P022] INTERVENTO PSICOSOCIALE DI PROMOZIONE DEL BENESSERE,F5102P022,F5701R,"0,5000",1
[F5801Q] ASTROFISICA E FISICA DELLO SPAZIO,[F1701Q100] FISICA TEORICA II,F1701Q100,F5801Q,"0,0000",1
[F5801Q] ASTROFISICA E FISICA DELLO SPAZIO,[F1701Q129] LABORATORIO DI STATO SOLIDO ED ELETTRONICA I,F1701Q129,F5801Q,"0,0000",2
[F5801Q] ASTROFISICA E FISICA DELLO SPAZIO,[F1701Q130] LABORATORIO DI STATO SOLIDO ED ELETTRONICA II,F1701Q130,F5801Q,"0,0000",3
[F6302N] MANAGEMENT E DESIGN DEI SERVIZI,[F6302N001] CAMBIAMENTO ORGANIZZATIVO,F6302N001,F6302N,"0,1398",3
[F6302N] MANAGEMENT E DESIGN DEI SERVIZI,[F5102P014] PROCESSI MOTIVAZIONALI E DECISION MAKING,F5102P014,F6302N,"0,3333",2
[F6302N] MANAGEMENT E DESIGN DEI SERVIZI,[F7702M043] STORIA DELL'IMPRESA,F7702M043,F6302N,"1,0000",1
[F7401Q] SCIENZE E TECNOLOGIE GEOLOGICHE,[F7401Q001] GEOLOGIA DEI BACINI SEDIMENTARI,F7401Q001,F7401Q,"0,0000",1
[F7401Q] SCIENZE E TECNOLOGIE GEOLOGICHE,[F7401Q002] GEODINAMICA E GEOLOGIA STRUTTURALE,F7401Q002,F7401Q,"0,0000",2
[F7401Q] SCIENZE E TECNOLOGIE GEOLOGICHE,[F7401Q005] PROSPEZIONI GEOFISICHE,F7401Q005,F7401Q,"0,0000",3
[F7501Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO,[F7501Q040] BOTANICA APPLICATA,F7501Q040,F7501Q,"0,0714",3
[F7501Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO,[F7501Q046] ECOLOGIA DEL PAESAGGIO,F7501Q046,F7501Q,"0,0741",2
[F7501Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO,[F7501Q086] INQUINAMENTO E BONIFICA DELLE ACQUE SOTTERRANEE,F7501Q086,F7501Q,"0,2941",1
[F7502Q] MARINE SCIENCES - SCIENZE MARINE,[F7502Q001] CHEMISTRY OF MARINE ENVIRONMENT,F7502Q001,F7502Q,"0,0000",2
[F7502Q] MARINE SCIENCES - SCIENZE MARINE,[F7502Q002] INTRODUCTION TO MARINE BIOLOGY,F7502Q002,F7502Q,"0,0000",3
[F7502Q] MARINE SCIENCES - SCIENZE MARINE,[F7502Q005] PHYSICS OF THE SEA,F7502Q005,F7502Q,"0,1000",1
[F7601M] ECONOMIA DEL TURISMO,[F7601M058] LINGUA SPAGNOLA PER LE SCIENZE TURISTICHE,F7601M058,F7601M,"0,3043",3
[F7601M] ECONOMIA DEL TURISMO,[F7601M054] MATEMATICA PER L'ECONOMIA DEI FENOMENI TURISTICI,F7601M054,F7601M,"0,3077",2
[F7601M] ECONOMIA DEL TURISMO,[F7601M065] ULTERIORI CONOSCENZE LINGUISTICHE PER IL TURISMO - TEDESCO,F7601M065,F7601M,"0,3333",1
[F7701M] SCIENZE ECONOMICO-AZIENDALI,[F7701M027] DIRITTO INDUSTRIALE PER IL MANAGEMENT,F7701M027,F7701M,"0,1778",3
[F7701M] SCIENZE ECONOMICO-AZIENDALI,[F7701M002] ABILITÀ INFORMATICHE MAGISTRALE,F7701M002,F7701M,"0,2784",2
[F7701M] SCIENZE ECONOMICO-AZIENDALI,[F7701M080] BILANCI DELLE SOCIETA' E DEI GRUPPI,F7701M080,F7701M,"0,4901",1
[F7702M] MARKETING E MERCATI GLOBALI,[F7702M043] STORIA DELL'IMPRESA,F7702M043,F7702M,"0,1795",3
[F7702M] MARKETING E MERCATI GLOBALI,[F7702M002] ABILITÀ INFORMATICHE MAGISTRALE,F7702M002,F7702M,"0,4860",2
[F7702M] MARKETING E MERCATI GLOBALI,[F7702M044] INDUSTRIAL ECONOMICS,F7702M044,F7702M,"0,5472",1
[F8202B] SCIENZE STATISTICHE ED ECONOMICHE,[F8204B020] ECONOMICS FOR DATA SCIENCE M,F8204B020,F8202B,"0,0000",2
[F8202B] SCIENZE STATISTICHE ED ECONOMICHE,[F8204B027] STATISTICA AZIENDALE M,F8204B027,F8202B,"0,0000",3
[F8202B] SCIENZE STATISTICHE ED ECONOMICHE,[F8204B010] STATISTICA SPAZIALE M,F8204B010,F8202B,"1,0000",1
[F8203B] BIOSTATISTICA,[F8203B004] CALCOLO DELLE PROBABILITA',F8203B004,F8203B,"0,1538",3
[F8203B] BIOSTATISTICA,[F8203B003] INFERENZA STATISTICA,F8203B003,F8203B,"0,1563",2
[F8203B] BIOSTATISTICA,[F8203B030] INTRODUZIONE ALL'INFERENZA STATISTICA,F8203B030,F8203B,"0,1579",1
[F8204B] SCIENZE STATISTICHE ED ECONOMICHE,[F8204B003] STATISTICA ECONOMICA M,F8204B003,F8204B,"0,1064",3
[F8204B] SCIENZE STATISTICHE ED ECONOMICHE,[F8204B005] MICROECONOMIA M,F8204B005,F8204B,"0,1220",2
[F8204B] SCIENZE STATISTICHE ED ECONOMICHE,[F8204B024] FINANZA MATEMATICA M,F8204B024,F8204B,"0,1538",1
[F8501R] SCIENZE PEDAGOGICHE,[F8501R008] POLITICHE SOCIALI II,F8501R008,F8501R,"0,0070",3
[F8501R] SCIENZE PEDAGOGICHE,[F8501R056] METODOLOGIA DELLA RICERCA PEDAGOGICA II CON LABORATORIO,F8501R056,F8501R,"0,0182",2
[F8501R] SCIENZE PEDAGOGICHE,[F8501R005] CONSULENZA FAMILIARE: TEORIE E PRATICHE,F8501R005,F8501R,"0,0393",1
[F8701N] PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI,[A5810010] DIRITTO AMMINISTRATIVO,A5810010,F8701N,"0,0000",1
[F8701N] PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI,[A5810063] DIRITTO PENITENZIARIO,A5810063,F8701N,"0,0000",2
[F8701N] PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI,[F0101R013] ANTROPOLOGIA MEDICA,F0101R013,F8701N,"0,0000",3
[F8801N] SOCIOLOGIA,[A5810046] CRIMINOLOGIA,A5810046,F8801N,"0,0000",2
[F8801N] SOCIOLOGIA,[F0101R004] ANTROPOLOGIA DELLE RELIGIONI,F0101R004,F8801N,"0,0000",3
[F8801N] SOCIOLOGIA,[F8801N045] GENERI E GENERAZIONI,F8801N045,F8801N,"0,0909",1
[F9201P] TEORIA E TECNOLOGIA DELLA COMUNICAZIONE,[F9201P021] PSICOLOGIA DELLE INFLUENZE SOCIALI,F9201P021,F9201P,"0,1429",3
[F9201P] TEORIA E TECNOLOGIA DELLA COMUNICAZIONE,[F9201P004] COMUNICAZIONE VISIVA E DESIGN DELLE INTERFACCE,F9201P004,F9201P,"0,2264",2
[F9201P] TEORIA E TECNOLOGIA DELLA COMUNICAZIONE,[F9201P011] LABORATORIO DI COMUNICAZIONE VISIVA,F9201P011,F9201P,"0,2727",1
